question_id,question_type,retrieval_method,question,reference_answer,ground_truth_chunks,retrieved_chunk_ids,hit_at_k,recall_at_k,reciprocal_rank,all_ground_truth_retrieved,answer,citation_format_valid,abstained,manual_answer_correct,manual_citations_supported,manual_unanswerable_handling_correct,manual_notes
Q01,factoid,dense,What aircraft model and registration were involved in occurrence A23Q0145?,"Beech King Air A100, registration C-GJJF.",A23Q0145_chunk_0001,A23P0123_chunk_0003|A23W0158_chunk_0012|A21Q0083_chunk_0004|A22O0165_chunk_0004|A21O0006_chunk_0003,False,0.0,0.0,False,I don't know.,True,True,False,,,Incorrectly abstained after dense retrieval failed on the opaque occurrence ID.
Q02,factoid,dense,"What was the aircraft doing when it lost engine power in occurrence A22P0067, and where did the pilot land?",The aircraft was conducting aerial firefighting operations. The pilot completed a forced landing in a reforested area.,A22P0067_chunk_0001,A22P0067_chunk_0004|A22P0067_chunk_0001|A16P0161_chunk_0003|A22P0067_chunk_0008|A22P0067_chunk_0003,True,1.0,0.5,True,"The aircraft was conducting aerial firefighting operations from Cranbrook/Canadian Rockies International Airport (CYXC), British Columbia, with 1 crew member on board. The pilot selected a reforested area and completed a forced landing.

[A22P0067_chunk_0008]",True,False,True,False,,"Answer correct; citation supported only the forced landing, not the complete answer."
Q03,factoid,dense,What objects did the aircraft strike before coming to rest in occurrence A23P0039?,The aircraft struck a pickup truck and then the airport perimeter fence before coming to rest against a berm.,A23P0039_chunk_0001,A23P0091_chunk_0005|A19P0187_chunk_0004|A23W0091_chunk_0005|A23W0103_chunk_0002|A23P0123_chunk_0008,False,0.0,0.0,False,I don't know.,True,True,False,,,Incorrectly abstained on an answerable question.
Q04,factoid,dense,"After the runway overrun in occurrence A23O0046, where did the aircraft stop, and were there any injuries or aircraft damage?","The aircraft stopped in muddy grass approximately 350 feet beyond the end of the runway. No one was injured, and the aircraft was not damaged.",A23O0046_chunk_0001,A23O0155_chunk_0003|A23O0046_chunk_0001|A22O0161_chunk_0013|A23W0103_chunk_0003|A23W0091_chunk_0005,True,1.0,0.5,True,"The aircraft came to a stop in muddy grass about 350 feet beyond the end of the runway. There were no injuries among the crew members and passengers on board. The aircraft was inspected for foreign object debris but found no significant damage. Cleaning and lubrication procedures were completed on the engines, fuselage, and landing gear to remove foreign object debris contamination.

[A23O0046_chunk_0001]",True,False,True,False,,Core answer correct; extra maintenance claims were not supported by the cited chunk.
Q05,factoid,dense,How many touch-and-go manoeuvres did the student pilot complete with the instructor before beginning the first solo flight in occurrence A23Q0088?,The student pilot completed eight touch-and-go manoeuvres.,A23Q0088_chunk_0001,A23Q0088_chunk_0005|A23Q0088_chunk_0002|A19Q0091_chunk_0024|A23Q0041_chunk_0006|A18Q0186_chunk_0032,False,0.0,0.0,False,I don't know.,True,True,False,,,Incorrectly abstained on an answerable question.
Q06,multi-hop,dense,"Comparing runway-overrun occurrences A23O0046 and A23C0081, which aircraft carried more people, by how many, and did either occurrence result in injuries?","A23O0046 carried more people. It carried 56 people compared with 7 in A23C0081, a difference of 49. Neither occurrence resulted in injuries.",A23O0046_chunk_0001|A23C0081_chunk_0001|A23C0081_chunk_0002,A23W0091_chunk_0005|A23O0046_chunk_0001|A23C0081_chunk_0001|A23W0103_chunk_0003|A23W0103_chunk_0002,True,0.6666666666666666,0.5,False,"The Porter Airlines Inc. De Havilland Aircraft of Canada Ltd. DHC-8-402 (registration C-GLQB) carried 2 flight crew members, 2 cabin crew members, and 52 passengers on board, for a total of 56 people.

Superior Airways Limited Cessna 208B (registration C-FYMK) carried 6 passengers.

Therefore, the Porter Airlines Inc. De Havilland Aircraft of Canada Ltd. DHC-8-402 carried 50 more people than Superior Airways Limited Cessna 208B.

There were no injuries reported in A23C0081, but there were 1 pilot and 5 passengers on board who received injuries in A23O0046.

I don't know [A23W0091_chunk_0002]",False,False,False,False,,"Incorrect person count, difference, and injury outcome; citation was unrelated and not retrieved."
Q07,multi-hop,dense,"Compare occurrences A23Q0145 and A22P0067: what operation was each aircraft conducting, what event led to the accident, and what was the injury outcome?","In A23Q0145, the aircraft was conducting a medical evacuation flight; it struck a snow windrow during landing and exited the runway, and one mission personnel member received minor injuries. In A22P0067, the aircraft was conducting aerial firefighting operations; it lost engine power and made a forced landing, and the pilot received minor injuries.",A23Q0145_chunk_0001|A22P0067_chunk_0001,A23W0091_chunk_0005|A22P0019_chunk_0001|A19P0176_chunk_0004|A23W0103_chunk_0003|A22O0046_chunk_0003,False,0.0,0.0,False,I don't know.,True,True,False,,,Incorrectly abstained on an answerable multi-hop question.
Q08,factoid,dense,"What level of injury was sustained by the pilot, aircraft passenger, and pickup-truck driver in occurrence A23P0039?",The pilot sustained serious injuries. The aircraft passenger and pickup-truck driver sustained minor injuries.,A23P0039_chunk_0001,A23W0040_chunk_0008|A23P0039_chunk_0001|A23W0091_chunk_0005|A22P0057_chunk_0003|A23W0103_chunk_0008,True,1.0,0.5,True,Serious [A23W0040_chunk_0007],False,False,False,False,,Incomplete answer and citation from the wrong investigation.
Q09,unanswerable,dense,What was the pilot's favourite food in occurrence A23Q0145?,I don't know.,,A23P0143_chunk_0003|A21O0056_chunk_0002|A21O0056_chunk_0004|A23P0123_chunk_0003|A23P0003_chunk_0004,,,,,I don't know.,True,True,True,,True,Correct abstention on an unanswerable question.
Q10,unanswerable,dense,What was the licence-plate number of the pickup truck struck in occurrence A23P0039?,I don't know.,,A23P0039_chunk_0001|A23W0091_chunk_0005|A23P0039_chunk_0002|A23P0091_chunk_0005|A15P0147_chunk_0003,,,,,I don't know.,True,True,True,,True,Correct abstention on an unanswerable question.
